California,[1.         1.         0.95789352]
Illinois,[0.78818106 0.81389739 0.86938548]
Louisiana,[0.8213916  0.97506963 1.        ]
Michigan,[0.94411624 0.78533316 0.77052149]
Missouri,[0.7430769  0.71704367 0.70314112]
New York,[0.71557529 0.73806569 0.6926744 ]
Ohio,[0.70095175 0.70267472 0.74882869]
Pennsylvania,[0.69271781 0.72357197 0.81719172]
Tennessee,[0.86315447 0.89087133 0.75013672]
Texas,[0.56127499 0.63136769 0.70660264]
