STATE,number of casualty,unemployment rate
Michigan,0.28347578347578345,0.6756124022154973
Louisiana,0.39857549857549857,0.8388403436018962
Missouri,0.4025641025641026,0.6168637955903575
Tennessee,0.40341880341880343,0.766405587428287
Pennsylvania,0.4478632478632479,0.6224800169767284
Ohio,0.5245014245014245,0.6045023696682469
New York,0.5652421652421652,0.6349487845895115
Texas,0.7096866096866097,0.5431578161734534
California,0.8037037037037037,0.8602876286974998
Illinois,1.0,0.7001858563330554
