states,number of casualty,suicide rate
Michigan,0.28347578347578345,0.4928571428571429
Louisiana,0.39857549857549857,0.5428571428571428
Missouri,0.4025641025641026,0.6107142857142858
Tennessee,0.40341880341880343,0.5607142857142857
Pennsylvania,0.4478632478632479,0.5
Ohio,0.5245014245014245,0.49642857142857144
New York,0.5652421652421652,0.2785714285714286
Texas,0.7096866096866097,0.44642857142857145
California,0.8037037037037037,0.3678571428571429
Illinois,1.0,0.3678571428571429
