STATE,number of casualty,number of registered guns
Michigan,0.21345662010623648,0.11241632842543742
Missouri,0.2669683257918552,0.1233665614825317
Louisiana,0.3206767656895534,0.18405550711090757
Tennessee,0.3212669683257919,0.16880798981198597
New York,0.33267755262640175,0.12255258683964543
Pennsylvania,0.3493999606531576,0.4105396385262511
Ohio,0.4097973637615581,0.27181891181470863
Texas,0.5758410387566398,1.0
California,0.6218768443832382,0.5618197273577035
Illinois,1.0,0.08238082093812538
