STATE,number of casualty,crime rate
Michigan,0.28347578347578345,0.5708955223880597
Louisiana,0.39857549857549857,0.7039800995024875
Missouri,0.4025641025641026,0.6455223880597015
Tennessee,0.40341880341880343,0.7873134328358209
Pennsylvania,0.4478632478632479,0.39303482587064675
Ohio,0.5245014245014245,0.373134328358209
New York,0.5652421652421652,0.46766169154228854
Texas,0.7096866096866097,0.5398009950248757
California,0.8037037037037037,0.5534825870646766
Illinois,1.0,0.5422885572139303
